Name of Covered Entity;State;Covered Entity Type;Individuals Affected;Breach Submission Date;Type of Breach;Location of Breached Information;Business Associate Present;Web Description
Hanger Prosthetics and Orthotics;TX;Healthcare Provider;1354;12/09/2022;Hacking/IT Incident;Email;No;
Pediatrics West, P.C.;MA;Healthcare Provider;1364;12/09/2022;Hacking/IT Incident;Network Server;No;
Rhode Island Department of Health;RI;Healthcare Provider;8800;12/07/2022;Unauthorized Access/Disclosure;Email;Yes;
Blakehurst;MD;Healthcare Provider;1047;12/06/2022;Hacking/IT Incident;Email;No;
Emory Healthcare;GA;Healthcare Provider;1891;12/06/2022;Unauthorized Access/Disclosure;Electronic Medical Record;No;
Employee Group Insurance Benefits Plan of Acuity Brands, Inc.;GA;Health Plan;20849;12/06/2022;Hacking/IT Incident;Network Server;No;
Polsinelli PC;MO;Business Associate;1220;12/02/2022;Hacking/IT Incident;Network Server;Yes;
NYC Health + Hospitals;NY;Healthcare Provider;2174;12/02/2022;Loss;Other Portable Electronic Device;No;
CommonSpirit Health;IL;Business Associate;623774;12/01/2022;Hacking/IT Incident;Network Server;Yes;
MaryAnne Freeman Brndjar, DO, PC;PA;Business Associate;2491;11/30/2022;Hacking/IT Incident;Network Server;Yes;
Dermatology & Skin Cancer Ctr, PC;PA;Business Associate;5423;11/30/2022;Hacking/IT Incident;Network Server;Yes;
NU House Calls, PC;PA;Business Associate;552;11/30/2022;Hacking/IT Incident;Network Server;Yes;
Keck Medicine of USC;CA;Healthcare Provider;2200;11/29/2022;Hacking/IT Incident;Email;No;
Legacy Health;OR;Healthcare Provider;8065;11/23/2022;Theft;Other Portable Electronic Device;No;
Dallam Hartley Counties Hospital District;TX;Healthcare Provider;69835;11/23/2022;Hacking/IT Incident;Network Server;No;
Compton & Broomhead Dental Center;IN;Healthcare Provider;1307;11/23/2022;Hacking/IT Incident;Email;No;
Mena Regional Health System;AR;Healthcare Provider;84814;11/22/2022;Hacking/IT Incident;Network Server;No;
Hope Health Systems Inc.;MD;Healthcare Provider;9972;11/21/2022;Hacking/IT Incident;Electronic Medical Record;No;
Orlando Health;FL;Healthcare Provider;3662;11/18/2022;Hacking/IT Incident;Email;No;
Wright & Filippis LLC;MI;Healthcare Provider;877584;11/18/2022;Hacking/IT Incident;Network Server;No;
Community Health Network, Inc. as an Affiliated Covered Entity;IN;Healthcare Provider;1500000;11/18/2022;Unauthorized Access/Disclosure;Network Server;No;
Gateway Rehabilitation Center;PA;Healthcare Provider;130000;11/18/2022;Hacking/IT Incident;Network Server;No;
University Medical Center of Southern Nevada;NV;Healthcare Provider;1861;11/17/2022;Unauthorized Access/Disclosure;Electronic Medical Record;No;
CONSUMER DIRECTED SERVICES IN TEXAS, INC.;TX;Healthcare Provider;56728;11/17/2022;Hacking/IT Incident;Network Server;Yes;
Innovative Service Technology Management Services, Inc. ;GA;Health Plan;2654;11/17/2022;Hacking/IT Incident;Network Server;No;
South Walton Fire District;FL;Healthcare Provider;25331;11/15/2022;Hacking/IT Incident;Network Server;No;
Arkansas Department of Human Services;AR;Health Plan;925;11/15/2022;Unauthorized Access/Disclosure;Email;No;
Docs Medical Inc;CT;Healthcare Provider;3146;11/15/2022;Hacking/IT Incident;Network Server;No;
CCA Health Plans of California, Inc d/b/a CCA Health CA;CA;Health Plan;14631;11/15/2022;Hacking/IT Incident;Network Server;No;
Epic Management LLC;TN;Healthcare Provider;10862;11/14/2022;Hacking/IT Incident;Email;No;
Health Care Management Solutions, LLC;WV;Business Associate;500000;11/14/2022;Hacking/IT Incident;Network Server;Yes;
Yale University;CT;Healthcare Provider;9051;11/11/2022;Hacking/IT Incident;Network Server;No;
NewYork-Presbyterian Hospital;NY;Healthcare Provider;12000;11/11/2022;Hacking/IT Incident;Laptop;No;
Stanley Street Treatment and Resources, Inc. ;MA;Healthcare Provider;45785;11/11/2022;Hacking/IT Incident;Network Server;No;
Connexin Software, Inc.;PA;Business Associate;2216365;11/11/2022;Hacking/IT Incident;Network Server;Yes;
Manassas Surgery Center Anesthesia Services;NY;Healthcare Provider;726;11/10/2022;Hacking/IT Incident;Network Server;No;
Work Health Solutions;CA;Healthcare Provider;13157;11/09/2022;Hacking/IT Incident;Email;No;
Doctors' Center Hospital;;Healthcare Provider;1195220;11/09/2022;Hacking/IT Incident;Network Server;No;
GATE Petroleum Company Employee Benefits Plan ;FL;Health Plan;4912;11/09/2022;Hacking/IT Incident;Network Server;No;
Heartland Alliance ;IL;Business Associate;46694;11/08/2022;Hacking/IT Incident;Network Server;Yes;
Eastside Pediatrics, PLLC;NY;Healthcare Provider;1723;11/08/2022;Hacking/IT Incident;Network Server;No;
The Stern Cardiovascular Foundation, Inc.;TN;Healthcare Provider;501;11/05/2022;Hacking/IT Incident;Network Server;No;
Titan Health Partners, LLC d/b/a Astera Cancer Care;NJ;Healthcare Provider;3848;11/04/2022;Hacking/IT Incident;Email;No;
OCEANVIEWS OPTICAL INC;FL;Healthcare Provider;2000;11/03/2022;Hacking/IT Incident;Network Server;No;
Pinnacle Claims Management, Inc.;CA;Business Associate;2048;11/03/2022;Hacking/IT Incident;Network Server;Yes;
TIC International Corporation (“TIC”);IN;Business Associate;1362;11/01/2022;Hacking/IT Incident;Network Server;Yes;
CorrectCare Integrated Health, Inc.;KY;Business Associate;4380;10/31/2022;Unauthorized Access/Disclosure;Network Server;Yes;
CorrectCare Integrated Health, Inc.;KY;Business Associate;438713;10/31/2022;Unauthorized Access/Disclosure;Network Server;Yes;
Alta Forest Products Health and Welfare Plan;WA;Health Plan;2100;10/31/2022;Hacking/IT Incident;Network Server;No;
Heart of Florida Health Center, Inc.;FL;Healthcare Provider;721;10/31/2022;Unauthorized Access/Disclosure;Network Server;Yes;
Gateway Ambulatory Surgery Center;NC;Healthcare Provider;18479;10/31/2022;Hacking/IT Incident;Email;No;
The Psychology Center;WI;Healthcare Provider;3614;10/31/2022;Unauthorized Access/Disclosure;Network Server;No;
Mohave County Adult Detention Facility;AZ;Healthcare Provider;558;10/31/2022;Unauthorized Access/Disclosure;Network Server;Yes;
Navajo County Sheriff's Office;AZ;Healthcare Provider;797;10/31/2022;Unauthorized Access/Disclosure;Network Server;Yes;
Louisiana Department of Public Safety and Corrections;LA;Healthcare Provider;85466;10/31/2022;Unauthorized Access/Disclosure;Network Server;Yes;
Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York;NY;Health Plan;21544;10/31/2022;Hacking/IT Incident;Email;No;
St Luke's Health - Texas;TX;Healthcare Provider;16906;10/30/2022;Hacking/IT Incident;Email;Yes;
Assurance Health System, LLC;IN;Healthcare Provider;3565;10/28/2022;Hacking/IT Incident;Email;No;
SightCare, Inc.;AZ;Health Plan;637999;10/28/2022;Hacking/IT Incident;Network Server;Yes;
Nationwide Optometry, PC;AZ;Healthcare Provider;73073;10/28/2022;Hacking/IT Incident;Network Server;Yes;
Sacramento County Adult Correctional Health;CA;Healthcare Provider;5372;10/27/2022;Unauthorized Access/Disclosure;Network Server;Yes;
State of New Jersey Department of Human Services, Division of Medical Assistance and Health Services;NJ;Health Plan;3900;10/27/2022;Unauthorized Access/Disclosure;Email;No;
University of Michigan/Michigan Medicine;MI;Healthcare Provider;33857;10/25/2022;Hacking/IT Incident;Email;No;
Coastal Horizons Center Inc.;NC;Healthcare Provider;679;10/25/2022;Unauthorized Access/Disclosure;Electronic Medical Record;No;
Somnia, Inc.;NY;Healthcare Provider;1326;10/24/2022;Hacking/IT Incident;Network Server;No;
Somnia Pain Mgt of Kentucky;NY;Healthcare Provider;10848;10/24/2022;Hacking/IT Incident;Network Server;No;
Illinois Department of Healthcare and Family Services, Illinois Department of Human Services ;IL;Health Plan;480435;10/21/2022;Hacking/IT Incident;Network Server;No;
Phoenix Programs of Florida, Inc.;FL;Healthcare Provider;6594;10/21/2022;Hacking/IT Incident;Email;No;
Dr. Scott B. Klimaj, DMD;RI;Healthcare Provider;1558;10/21/2022;Hacking/IT Incident;Network Server;No;
Wenco Management, LLC Health and Welfare Benefit Plan;OH;Health Plan;20526;10/20/2022;Hacking/IT Incident;Network Server;No;
Pynenberg & Scheske DDS,SC ;WI;Healthcare Provider;2612;10/20/2022;Hacking/IT Incident;Network Server;No;
Sigmund Software, LLC ;CT;Business Associate;983;10/20/2022;Hacking/IT Incident;Network Server;Yes;
Fontainebleau Development Health and Welfare Plan ;FL;Health Plan;1825;10/20/2022;Hacking/IT Incident;Network Server;No;
Lifeline Systems Company;MA;Healthcare Provider;500;10/16/2022;Hacking/IT Incident;Network Server;No;
Friend Family Health Center, Inc.;IL;Healthcare Provider;1419;10/14/2022;Hacking/IT Incident;Email;No;
Tift Regional Health System;GA;Healthcare Provider;500;10/14/2022;Hacking/IT Incident;Network Server;No;
Alain A. Montiel, DDS;CA;Healthcare Provider;17157;10/14/2022;Theft;Laptop;No;
Blue Cross and Blue Shield of Kansas;KS;Health Plan;1308;10/14/2022;Hacking/IT Incident;Network Server;No;
Presbyterian Healthcare Services;NM;Healthcare Provider;44450;10/14/2022;Hacking/IT Incident;Email;No;
WakeMed Health and Hospitals;NC;Healthcare Provider;495808;10/14/2022;Unauthorized Access/Disclosure;Network Server;No;
Springfield Clinic;IL;Healthcare Provider;802;10/14/2022;Loss;Other Portable Electronic Device;No;
HH/Killeen Health System, LLC doing business as Seton Medical Center Harker Heights;TX;Healthcare Provider;15056;10/14/2022;Hacking/IT Incident;Email;Yes;
Ascension St. Vincent’s Coastal Cardiology;GA;Healthcare Provider;71227;10/14/2022;Hacking/IT Incident;Network Server;No;
The Valley Hospital;NJ;Healthcare Provider;4245;10/14/2022;Improper Disposal;Paper/Films;No;
Keystone Health;PA;Healthcare Provider;235237;10/14/2022;Hacking/IT Incident;Network Server;No;
Premier Physical Therapy and Sports Performance, Limited Partnership;DE;Healthcare Provider;982;10/12/2022;Hacking/IT Incident;Email;No;
Sage Counseling Omaha;NE;Healthcare Provider;1359;10/12/2022;Theft;Electronic Medical Record;No;
Defense Health Headquarters;VA;Health Plan;1279;10/12/2022;Hacking/IT Incident;Network Server;No;
Choice Health Insurance LLC;SC;Business Associate;32064;10/11/2022;Hacking/IT Incident;Network Server;Yes;
Aesthetic Dermatology Associates, PC;PA;Healthcare Provider;33793;10/10/2022;Hacking/IT Incident;Network Server;No;
Regional Women’s Health Group, LLC;NJ;Healthcare Provider;804;10/10/2022;Unauthorized Access/Disclosure;Other Portable Electronic Device;No;
Lifespire Services, Inc.;NY;Healthcare Provider;15375;10/07/2022;Hacking/IT Incident;Network Server;No;
Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas;TX;Healthcare Provider;1500;10/07/2022;Hacking/IT Incident;Network Server;No;
Urology of Greater Atlanta, LLC;GA;Healthcare Provider;79795;10/07/2022;Hacking/IT Incident;Network Server, Other;No;
Wisconsin Department of Health Services;WI;Health Plan;12358;10/07/2022;Unauthorized Access/Disclosure;Email;No;
Berkshire Farm Center & Services for Youth;NY;Healthcare Provider;951;10/06/2022;Hacking/IT Incident;Email;No;
CareOregon;OR;Health Plan;8022;10/05/2022;Unauthorized Access/Disclosure;Paper/Films;No;
Valle del Sol, Inc.;AZ;Healthcare Provider;70268;10/05/2022;Hacking/IT Incident;Network Server;No;
Family Medicine Shady Grove LLC;MD;Healthcare Provider;6482;10/03/2022;Hacking/IT Incident;Network Server;No;
VisionWeb Holdings, LLC;TX;Business Associate;35900;10/03/2022;Hacking/IT Incident;Email;Yes;
Monroe Ear Nose and Throat Associates, PC;MI;Healthcare Provider;14500;09/30/2022;Hacking/IT Incident;Electronic Medical Record, Network Server;No;
Anthem ACE;IN;Health Plan;13406;09/30/2022;Unauthorized Access/Disclosure;Network Server;Yes;
Anthem Health Plans of Kentucky, Incorporated;IN;Business Associate;537;09/29/2022;Theft;Other Portable Electronic Device;Yes;
Smith, Gambrell & Russell, LLP;GA;Business Associate;4688;09/28/2022;Hacking/IT Incident;Network Server;Yes;
Reid and Riege, P.C.;CT;Business Associate;610;09/28/2022;Hacking/IT Incident;Network Server;Yes;
McPherson Hospital, Inc.;KS;Healthcare Provider;19020;09/26/2022;Hacking/IT Incident;Network Server;No;
Extended MLTC;NY;Health Plan;5494;09/26/2022;Hacking/IT Incident;Network Server;Yes;
Montefiore Medical Center;NY;Healthcare Provider;1332;09/23/2022;Theft;Other Portable Electronic Device;No;
FMC Services, LLC;TX;Healthcare Provider;233948;09/23/2022;Hacking/IT Incident;Network Server;No;
Grayling Anesthesia Associates PC;MI;Healthcare Provider;15378;09/23/2022;Hacking/IT Incident;Network Server;No;
Cynthia Paul, M.D., LLC d/b/a The Coeur Group;NE;Healthcare Provider;2020;09/23/2022;Hacking/IT Incident;Email;No;
WellMed Medical Management;TX;Healthcare Provider;10506;09/23/2022;Unauthorized Access/Disclosure;Electronic Medical Record, Network Server;No;
Physician’s Business Office, Inc.;WV;Business Associate;196673;09/23/2022;Hacking/IT Incident;Network Server;Yes;
Dyersburg Family Walk-In Clinic, LLC (d/b/a Reelfoot Family Walk-In Clinic);TN;Healthcare Provider;58562;09/23/2022;Hacking/IT Incident;Network Server;No;
Bloomington Meadows Hospital;IN;Healthcare Provider;788;09/23/2022;Unauthorized Access/Disclosure;Email;No;
UW Medicine;WA;Healthcare Provider;3804;09/21/2022;Hacking/IT Incident;Network Server;Yes;
Berkshire Farm Center & Services for Youth  ;NY;Healthcare Provider;23058;09/16/2022;Unauthorized Access/Disclosure;Network Server;No;
The Cooper Health System;NJ;Healthcare Provider;500;09/16/2022;Hacking/IT Incident;Email;No;
Landmark Management Services;FL;Healthcare Provider;501;09/15/2022;Hacking/IT Incident;Network Server;No;
Centerstone of Tennessee, Inc.;TN;Healthcare Provider;3675;09/12/2022;Hacking/IT Incident;Email;No;
SERV Behavioral Health Systems, Inc.;NJ;Healthcare Provider;8110;09/09/2022;Hacking/IT Incident;Network Server;No;
FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS;TN;Health Plan;983;09/09/2022;Hacking/IT Incident;Network Server;Yes;
The Sargent’s Group;PA;Business Associate;1650;09/09/2022;Hacking/IT Incident;Network Server;Yes;
Medical Associates of the Lehigh Valley;PA;Healthcare Provider;75628;09/09/2022;Hacking/IT Incident;Network Server;No;
DaVita Inc.;CO;Healthcare Provider;1092;09/06/2022;Hacking/IT Incident;Laptop;No;
Independent Living Systems, LLC;FL;Business Associate;501;09/02/2022;Hacking/IT Incident;Network Server;Yes;
Narragansett Bay Commission;RI;Healthcare Provider;2153;09/01/2022;Hacking/IT Incident;Network Server;No;
Walgreen Co.;IL;Healthcare Provider;1704;08/31/2022;Theft;Paper/Films;No;
Trinity Health ;MI;Business Associate;5738;08/29/2022;Unauthorized Access/Disclosure;Network Server;Yes;
The State Psychiatric Hospitals in the New Jersey Department of Health, Division of Behavioral Health Services;NJ;Healthcare Provider;850;08/29/2022;Hacking/IT Incident;Network Server;Yes;
NYSARC Columbia County Chapter d/b/a COARC;NY;Healthcare Provider;5701;08/29/2022;Hacking/IT Incident;Network Server;No;
Methodist McKinney Hospital;TX;Healthcare Provider;110244;08/26/2022;Hacking/IT Incident;Network Server;No;
Methodist Craig Ranch Surgical Center;TX;Healthcare Provider;15157;08/26/2022;Hacking/IT Incident;Network Server;No;
NorthStar HealthCare Consulting LLC;GA;Business Associate;18354;08/26/2022;Unauthorized Access/Disclosure;Email;Yes;
General Health System;LA;Healthcare Provider;46149;08/25/2022;Hacking/IT Incident;Network Server;No;
Farmville Internal Medicine;NC;Healthcare Provider;3000;08/25/2022;Hacking/IT Incident;Electronic Medical Record, Network Server;Yes;
Community Bridges;NH;Healthcare Provider;10461;08/24/2022;Hacking/IT Incident;Network Server;No;
Warner Norcross and Judd, LLP;MI;Business Associate;255160;08/24/2022;Hacking/IT Incident;Network Server;Yes;
California Department of Corrections and Rehabilitation;CA;Healthcare Provider;236000;08/22/2022;Hacking/IT Incident;Network Server;No;
San Diego American Indian Health Center;CA;Healthcare Provider;27367;08/15/2022;Hacking/IT Incident;Network Server;No;
Choice Health Insurance, LLC;SC;Business Associate;23082;08/15/2022;Hacking/IT Incident;Network Server;Yes;
AdventHealth Medical Group OB GYN at Woodridge;IL;Healthcare Provider;2001;08/15/2022;Loss;Other Portable Electronic Device;No;
Priti Patel Physician PC;NY;Healthcare Provider;6877;08/14/2022;Hacking/IT Incident;Network Server;No;
Valley Baptist Medical Center – Harlingen;TX;Healthcare Provider;11137;08/12/2022;Hacking/IT Incident;Network Server;No;
Valley Baptist Medical Center - Brownsville;TX;Healthcare Provider;7496;08/12/2022;Hacking/IT Incident;Network Server;No;
Specialized Treatment Facility;MS;Healthcare Provider;1059;08/12/2022;Unauthorized Access/Disclosure;Email;No;
Rock County Human Services Department;WI;Healthcare Provider;25610;08/12/2022;Hacking/IT Incident;Email;No;
Lamoille Health Partners;VT;Healthcare Provider;59381;08/11/2022;Hacking/IT Incident;Network Server;No;
DataStat, Inc.;MI;Business Associate;1650;08/08/2022;Unauthorized Access/Disclosure;Paper/Films;Yes;
Maternal and Family Health Services;PA;Healthcare Provider;500;08/08/2022;Hacking/IT Incident;Network Server;No;
Inline Network Integration, LLC;TX;Business Associate;500;08/05/2022;Hacking/IT Incident;Network Server;Yes;
Living Innovations;NH;Healthcare Provider;4000;08/05/2022;Hacking/IT Incident;Email;No;
Centerstone of Indiana, Inc.;IN;Healthcare Provider;1700;08/04/2022;Hacking/IT Incident;Email;No;
Practice Resources, LLC;NY;Business Associate;942138;08/04/2022;Hacking/IT Incident;Network Server;Yes;
Independent Case Management, INC.;AR;Healthcare Provider;3307;08/03/2022;Hacking/IT Incident;Network Server;No;
Eventus WholeHealth PLLC;NC;Healthcare Provider;1707;07/29/2022;Hacking/IT Incident;Email;No;
Healthback Holdings, LLC ;OK;Healthcare Provider;21114;07/29/2022;Hacking/IT Incident;Email;No;
Minuteman Senior Services;MA;Healthcare Provider;4000;07/29/2022;Hacking/IT Incident;Email;No;
OneTouchPoint, Inc.;WI;Business Associate;4112892;07/27/2022;Hacking/IT Incident;Network Server;Yes;
BHG Holdings, LLC dba Behavioral Health Group;TX;Healthcare Provider;197507;07/27/2022;Hacking/IT Incident;Network Server;No;
Dr. Manaf Ahmad;TX;Healthcare Provider;3717;07/26/2022;Hacking/IT Incident;Email;No;
Allegheny Heath Network;PA;Healthcare Provider;8071;07/26/2022;Hacking/IT Incident;Email;No;
Lawson Products, Inc.;IL;Health Plan;791;07/26/2022;Hacking/IT Incident;Network Server;No;
Santa Rosa County District Schools;FL;Health Plan;9424;07/25/2022;Unauthorized Access/Disclosure;Network Server;No;
Scott County, Iowa;IA;Business Associate;1583;07/25/2022;Hacking/IT Incident;Email;Yes;
NuLife Med, LLC;NH;Business Associate;3805;07/25/2022;Hacking/IT Incident;Network Server;Yes;
dormant see master file 489659_ Benefit Plan Administrators, Inc. ;VA;Business Associate;1457;07/25/2022;Hacking/IT Incident;Network Server;Yes;
Center for Primary Care;GA;Healthcare Provider;2400;07/25/2022;Hacking/IT Incident;Email;No;
Radiation Oncology Centers of the Carolinas;NC;Healthcare Provider;1116;07/25/2022;Hacking/IT Incident;Email;No;
Benefit Plan Administrators, Inc. ;VA;Business Associate;5004;07/22/2022;Hacking/IT Incident;Network Server;Yes;
City of Newport, Rhode Island;RI;Health Plan;6109;07/22/2022;Hacking/IT Incident;Network Server;No;
Patriot Growth Insurance Services, LLC;PA;Business Associate;4614;07/21/2022;Hacking/IT Incident;Email;Yes;
Central Maine Medical Center;ME;Healthcare Provider;11938;07/21/2022;Hacking/IT Incident;Network Server;Yes;
Cavender Stores, Ltd Health Plan;TX;Health Plan;4447;07/20/2022;Hacking/IT Incident;Network Server;No;
Dow Rummel Village;SD;Healthcare Provider;1079;07/20/2022;Hacking/IT Incident;Email;No;
Zenith American Solutions;WA;Business Associate;37146;07/20/2022;Unauthorized Access/Disclosure;Paper/Films;Yes;
Goodman Campbell Brain and Spine;IN;Healthcare Provider;362833;07/19/2022;Hacking/IT Incident;Network Server;No;
ProMedica;OH;Healthcare Provider;1178;07/19/2022;Unauthorized Access/Disclosure;Email;No;
Acts Retirement Services, Inc. and Affiliates;PA;Healthcare Provider;2236;07/15/2022;Hacking/IT Incident;Network Server;No;
Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center ;NH;Healthcare Provider;1201;07/15/2022;Loss;Laptop;No;
Benson Health;NC;Healthcare Provider;28913;07/15/2022;Hacking/IT Incident;Network Server;No;
Washington University School of Medicine;MO;Healthcare Provider;1056;07/14/2022;Hacking/IT Incident;Network Server;No;
Premere Infinity Rehab, LLC;OR;Business Associate;183254;07/13/2022;Hacking/IT Incident;Network Server;Yes;
Avamere Health Services, LLC;OR;Business Associate;197730;07/13/2022;Hacking/IT Incident;Network Server;Yes;
Family Practice Center PC;PA;Healthcare Provider;83969;07/11/2022;Hacking/IT Incident;Network Server;No;
Associated Eye Care;MN;Healthcare Provider;40793;07/08/2022;Hacking/IT Incident;Network Server;Yes;
dormant see master file 489659_ Benefit Plan Administrators, Inc. ;VA;Business Associate;878;07/08/2022;Hacking/IT Incident;Network Server;Yes;
Cornerstone Services;IL;Healthcare Provider;2513;07/08/2022;Hacking/IT Incident;Network Server;No;
Wisconsin Department of Health Services;WI;Health Plan;1698;07/08/2022;Hacking/IT Incident;Network Server;Yes;
dormant see master file 489659_ Benefit Plan Administrators, Inc. ;VA;Business Associate;1089;07/08/2022;Hacking/IT Incident;Network Server;Yes;
Southwest Health Center;WI;Healthcare Provider;46142;07/05/2022;Hacking/IT Incident;Network Server;No;
Cheyenne Regional Medical Center ;WY;Healthcare Provider;1652;07/05/2022;Unauthorized Access/Disclosure;Desktop Computer, Electronic Medical Record;No;
Carolina Behavioral Health Alliance, LLC;NC;Business Associate;130922;07/01/2022;Hacking/IT Incident;Network Server;Yes;
CHRISTUS Spohn Health System Corporation;TX;Healthcare Provider;15062;07/01/2022;Hacking/IT Incident;Network Server;No;
Professional Finance Company, Inc.;CO;Business Associate;1918941;07/01/2022;Hacking/IT Incident;Network Server;Yes;
Michigan Avenue Immediate Care;IL;Healthcare Provider;144104;06/30/2022;Hacking/IT Incident;Network Server;No;
OrthoWest, PC;NE;Healthcare Provider;1369;06/30/2022;Hacking/IT Incident;Email;No;
dormant see master file 489659_ Benefit Plan Administrators, Inc.;VA;Business Associate;628;06/30/2022;Hacking/IT Incident;Network Server;Yes;
dormant see master file 489659_ Benefit Plan Administrators, Inc. ;VA;Business Associate;1145;06/29/2022;Hacking/IT Incident;Network Server;Yes;
Mattax Neu Prater Eye Center, Inc.;MO;Healthcare Provider;92361;06/28/2022;Hacking/IT Incident;Electronic Medical Record;Yes;
dormant see master file 489659_ Benefit Plan Administrators, Inc. ;VA;Business Associate;735;06/27/2022;Hacking/IT Incident;Network Server;Yes;
dormant see master file 489659_ Benefit Plan Administrators, Inc. ;VA;Business Associate;1267;06/27/2022;Hacking/IT Incident;Network Server;Yes;
Hudson Regional Hospital;NJ;Healthcare Provider;1300;06/22/2022;Hacking/IT Incident;Network Server;Yes;
Winslow Memorial Hospital d/b/a Little Colorado Medical Center;AZ;Healthcare Provider;1000;06/21/2022;Hacking/IT Incident;Network Server;No;
ARC Industries Inc. of Franklin County;OH;Healthcare Provider;22011;06/17/2022;Hacking/IT Incident;Network Server;No;
Help at Home ;IL;Healthcare Provider;800;06/17/2022;Improper Disposal;Paper/Films;No;
Tosoh America, Inc.;OH;Health Plan;880;06/17/2022;Hacking/IT Incident;Email;No;
City of Cincinnati Health Plan;OH;Health Plan;9769;06/16/2022;Unauthorized Access/Disclosure;Network Server;No;
Liberty Healthcare Group ;NC;Healthcare Provider;2191;06/16/2022;Hacking/IT Incident;Email;No;
Mason Tenders’ District Council Welfare Fund;NY;Health Plan;13344;06/16/2022;Hacking/IT Incident;Network Server;No;
Baptist Medical Center;TX;Healthcare Provider;1608549;06/15/2022;Hacking/IT Incident;Network Server;No;
Resolute Health Hospital;TX;Healthcare Provider;54239;06/15/2022;Hacking/IT Incident;Network Server;No;
DialAmerica Marketing, Inc.;NJ;Business Associate;19796;06/12/2022;Hacking/IT Incident;Network Server;Yes;
MCG Health, LLC;WA;Business Associate;793283;06/10/2022;Hacking/IT Incident;Network Server;Yes;
Bayshore Brightwaters Rescue Ambulance, Inc.;NY;Healthcare Provider;500;06/10/2022;Hacking/IT Incident;Email;No;
Yuma Regional Medical Center;AZ;Healthcare Provider;783145;06/09/2022;Hacking/IT Incident;Network Server;No;
90 Degree Benefits, Inc.;WI;Business Associate;172450;06/09/2022;Hacking/IT Incident;Network Server;Yes;
Christiana Spine Center, PA;DE;Healthcare Provider;3500;06/09/2022;Hacking/IT Incident;Network Server;No;
Heartland Healthcare Services;OH;Healthcare Provider;2763;06/09/2022;Hacking/IT Incident;Network Server;No;
Chesapeake Eye Center PA;MD;Healthcare Provider;32770;06/09/2022;Hacking/IT Incident;Network Server;Yes;
Southern Ohio Medical Center;OH;Healthcare Provider;1333;06/08/2022;Hacking/IT Incident;Network Server;Yes;
Bergen's Promise, Inc.;NJ;Business Associate;6948;06/07/2022;Hacking/IT Incident;Email;Yes;
Atrium Health at Home;NC;Healthcare Provider;6695;06/07/2022;Hacking/IT Incident;Email;No;
Memorial Community Health, Inc.;NE;Healthcare Provider;1658;06/06/2022;Hacking/IT Incident;Network Server;No;
Spectrum Eye Physicians;CA;Healthcare Provider;175000;06/06/2022;Hacking/IT Incident;Network Server;Yes;
Allied Urological Services, LLC ;NY;Business Associate;6280;05/31/2022;Hacking/IT Incident;Email;Yes;
Virginia Mason Medical Center ;WA;Healthcare Provider;1523;05/31/2022;Hacking/IT Incident;Network Server;No;
Shields Health Care Group, Inc.;MA;Business Associate;2000000;05/27/2022;Hacking/IT Incident;Network Server;Yes;
University of Chicago Medical Center;IL;Healthcare Provider;2568;05/27/2022;Hacking/IT Incident;Email;No;
BJC Health System;MO;Business Associate;500;05/27/2022;Hacking/IT Incident;Email;Yes;
Stephen Sims, MD, PA dba North Lakes Pain Consultants;TX;Healthcare Provider;8620;05/27/2022;Hacking/IT Incident;Network Server;No;
NLB Corporation;MI;Health Plan;1943;05/26/2022;Hacking/IT Incident;Network Server;No;
Aon PLC;IL;Business Associate;129682;05/26/2022;Hacking/IT Incident;Network Server;Yes;
Comstar, LLC;MA;Business Associate;68957;05/26/2022;Hacking/IT Incident;Network Server;Yes;
Fred Hutchinson Cancer Center;WA;Healthcare Provider;500;05/25/2022;Hacking/IT Incident;Email;No;
Moyes Eye Center, PC;MO;Healthcare Provider;38000;05/25/2022;Hacking/IT Incident;Electronic Medical Record;Yes;
Family Health Care, Inc;KS;Healthcare Provider;33619;05/24/2022;Hacking/IT Incident;Network Server;No;
Val Verde Regional Medical Center (“VVRMC”) ;TX;Healthcare Provider;86562;05/24/2022;Hacking/IT Incident;Network Server;No;
Allwell Behavioral Health Services;OH;Healthcare Provider;29972;05/23/2022;Hacking/IT Incident;Network Server;No;
Washington University School of Medicine;MO;Health Plan;500;05/23/2022;Hacking/IT Incident;Email;No;
Alameda Health System;CA;Healthcare Provider;90000;05/20/2022;Hacking/IT Incident;Email;No;
Partnership HealthPlan of California;CA;Health Plan;854913;05/18/2022;Hacking/IT Incident;Network Server;No;
Bryan County Ambulance Authority;OK;Healthcare Provider;14273;05/18/2022;Hacking/IT Incident;Network Server;No;
Allaire Healthcare Group;NJ;Healthcare Provider;13148;05/17/2022;Hacking/IT Incident;Email;No;
Northern Rockies Orthopaedics;MT;Healthcare Provider;6701;05/17/2022;Hacking/IT Incident;Email;No;
Apria Healthcare LLC;IN;Healthcare Provider;1868831;05/16/2022;Hacking/IT Incident;Email, Network Server;No;
