Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Wheeling Health Right Inc,WV,Healthcare Provider,3912,2022-03-18,Hacking/IT Incident,Network Server,No,
Central Minnesota Mental Health Center,MN,Healthcare Provider,28725,2022-03-17,Hacking/IT Incident,Email,No,
Eye Group of Southern Indiana,IN,Healthcare Provider,4002,2022-03-15,Hacking/IT Incident,Network Server,No,
Laboratorio Clinico Toledo,,Healthcare Provider,500,2022-03-14,Hacking/IT Incident,Network Server,No,
"Trinity Home Care, Inc.",MA,Healthcare Provider,1541,2022-03-14,Hacking/IT Incident,Network Server,No,
Capital Region Medical Center,MO,Healthcare Provider,17578,2022-03-11,Hacking/IT Incident,Network Server,No,
Labette Health,KS,Healthcare Provider,85635,2022-03-11,Hacking/IT Incident,Network Server,No,
New Jersey Brain and Spine,NJ,Healthcare Provider,92453,2022-03-10,Hacking/IT Incident,Network Server,No,
Central Indiana Orthopedics,IN,Healthcare Provider,83705,2022-03-07,Hacking/IT Incident,Network Server,No,
"South Denver Cardiology Associates, PC",CO,Healthcare Provider,287652,2022-03-04,Hacking/IT Incident,Network Server,No,
"Indiana Hemophilia and Thrombosis Center, Inc.",IN,Healthcare Provider,2575,2022-03-04,Hacking/IT Incident,Email,No,
University of Michigan/Michigan Medicine,MI,Healthcare Provider,2921,2022-03-03,Hacking/IT Incident,Email,No,
"Molecular Pathology Laboratory Network, Inc.",TN,Healthcare Provider,339471,2022-03-03,Hacking/IT Incident,Network Server,No,
Crossroads Health,OH,Healthcare Provider,10324,2022-03-02,Hacking/IT Incident,Network Server,No,
Norwood Clinic,AL,Healthcare Provider,228000,2022-02-25,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Bako Diagnostics,GA,Healthcare Provider,25745,2022-02-25,Hacking/IT Incident,Network Server,No,
University Medical Center Southern Nevada,NV,Healthcare Provider,12230,2022-02-24,Hacking/IT Incident,Email,Yes,
"Community Association of Progressive Dominicans, Inc. ",NY,Healthcare Provider,656,2022-02-23,Hacking/IT Incident,Email,No,
Zoe Therapy Services  ,VA,Healthcare Provider,1100,2022-02-23,Hacking/IT Incident,Email,No,
Logan Health Medical Center,MT,Healthcare Provider,213543,2022-02-22,Hacking/IT Incident,Network Server,No,
Ascension Michigan (single affiliated covered entity) ACE,MI,Healthcare Provider,27177,2022-02-22,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Memorial village er,TX,Healthcare Provider,80000,2022-02-19,Hacking/IT Incident,Network Server,No,
Cooper University Health Care,NJ,Healthcare Provider,1039,2022-02-14,Hacking/IT Incident,Email,No,
Family Fare LLC,MI,Healthcare Provider,3892,2022-02-11,Hacking/IT Incident,Network Server,Yes,
CVS Pharmacy,RI,Healthcare Provider,6221,2022-02-11,Hacking/IT Incident,Network Server,No,
"Jacksonville Spine Center, P.A.",FL,Healthcare Provider,38000,2022-02-10,Hacking/IT Incident,Network Server,No,
Seneca Nation Health System,NY,Healthcare Provider,12000,2022-02-08,Hacking/IT Incident,Network Server,No,
South Shore Hospital Corporation,IL,Healthcare Provider,115175,2022-02-07,Hacking/IT Incident,Network Server,No,
"Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth",TX,Healthcare Provider,48126,2022-02-07,Hacking/IT Incident,Network Server,No,
Family Christian Health Center,IL,Healthcare Provider,31000,2022-01-28,Hacking/IT Incident,Network Server,No,
Walgreen Co.,IL,Healthcare Provider,1471,2022-01-21,Unauthorized Access/Disclosure,Paper/Films,No,
University of Arkansas for Medical Sciences ,AR,Healthcare Provider,518,2022-01-21,Unauthorized Access/Disclosure,Email,No,
"Advocates, Inc.",MA,Healthcare Provider,68236,2022-01-21,Hacking/IT Incident,Network Server,No,
Raveco Medical,NY,Healthcare Provider,4897,2022-01-17,Hacking/IT Incident,Network Server,No,
Albany Family Dentistry,MN,Healthcare Provider,1117,2022-01-14,Hacking/IT Incident,Email,No,
"Vantage Holding Company, LLC",PA,Healthcare Provider,1762,2022-01-14,Hacking/IT Incident,Network Server,No,
Millennium Eye Care LLC,NJ,Healthcare Provider,6050,2022-01-13,Hacking/IT Incident,Network Server,No,
"Lakeshore Bone & Joint Institute, PC",IN,Healthcare Provider,23627,2022-01-10,Hacking/IT Incident,Email,No,
Ravkoo,FL,Healthcare Provider,105000,2022-01-03,Hacking/IT Incident,Other,No,
"Sherrill House, Inc.",MA,Healthcare Provider,5006,2022-01-03,Hacking/IT Incident,Email,No,
Loyola University Medical Center,IL,Healthcare Provider,16934,2021-12-30,Hacking/IT Incident,Email,No,
Douglas C Morrow ODPC,IN,Healthcare Provider,5269,2021-12-28,Hacking/IT Incident,Network Server,No,
"Pithadia Medical Professional Services, Inc.",IN,Healthcare Provider,1624,2021-12-28,Hacking/IT Incident,Network Server,No,
Advocate Aurora Health,WI,Healthcare Provider,1729,2021-12-28,Loss,Paper/Films,No,
Walgreen Co.,IL,Healthcare Provider,1352,2021-12-27,Loss,Paper/Films,No,
"Fertility Centers of Illinois, PLLC",IL,Healthcare Provider,79943,2021-12-27,Hacking/IT Incident,Network Server,No,
Chaddock,IL,Healthcare Provider,777,2021-12-21,Theft,Paper/Films,No,
Northwest Broward Orthopaedics Associates,FL,Healthcare Provider,500,2021-12-17,Hacking/IT Incident,"Desktop Computer, Network Server",No,
"Eduro Healthcare, LLC",UT,Healthcare Provider,8059,2021-12-09,Hacking/IT Incident,Email,No,
"Weddell Pediatric Dental Specialists, LLC",IN,Healthcare Provider,5356,2021-12-08,Hacking/IT Incident,Email,No,
Javery Pain Institute ,MI,Healthcare Provider,1387,2021-12-08,Hacking/IT Incident,Email,No,
"Summit Surgical, LLC",KS,Healthcare Provider,4910,2021-12-07,Hacking/IT Incident,Network Server,No,
"Oregon Anesthesiology Group, P.C.",OR,Healthcare Provider,750500,2021-12-06,Hacking/IT Incident,Network Server,No,
AMITA Health Medical Group Primary Care Hoffman Estates,IL,Healthcare Provider,1647,2021-11-30,Unauthorized Access/Disclosure,Email,No,
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",NH,Healthcare Provider,501,2021-11-29,Hacking/IT Incident,Network Server,No,
Upstate HomeCare,NY,Healthcare Provider,5114,2021-11-24,Hacking/IT Incident,Network Server,No,
Huntington Hospital,NY,Healthcare Provider,12925,2021-11-24,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Minnesota Women's Care, P.A.",MN,Healthcare Provider,1900,2021-11-24,Unauthorized Access/Disclosure,Paper/Films,No,
One Community Health,OR,Healthcare Provider,39865,2021-11-22,Hacking/IT Incident,Network Server,No,
Episcopal Retirement Services,OH,Healthcare Provider,4133,2021-11-18,Hacking/IT Incident,Network Server,No,
Marietta Area Health Care Inc. dba Memorial Health System,OH,Healthcare Provider,501,2021-11-17,Hacking/IT Incident,Network Server,No,
University of Houston for UH College of Optometry,TX,Healthcare Provider,18500,2021-11-12,Hacking/IT Incident,Network Server,No,
"The Centers for Advanced Orthopaedics, LLC",MD,Healthcare Provider,21162,2021-11-11,Hacking/IT Incident,Network Server,No,
Ophthalmology Associates,MN,Healthcare Provider,67000,2021-11-11,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Integrated Services of Kalamazoo,MI,Healthcare Provider,3754,2021-11-10,Hacking/IT Incident,Email,No,
The Urology Center of Colorado,CO,Healthcare Provider,137820,2021-11-05,Hacking/IT Incident,Network Server,No,
University Hospital  ,NJ,Healthcare Provider,10067,2021-11-05,Unauthorized Access/Disclosure,Other,No,
Mowery Clinic LLC,KS,Healthcare Provider,96000,2021-11-05,Hacking/IT Incident,Network Server,No,
New York Psychotherapy and Counseling Center,NY,Healthcare Provider,28000,2021-11-05,Hacking/IT Incident,Network Server,No,
Putnam County Memorial Hospital,MO,Healthcare Provider,6916,2021-11-03,Hacking/IT Incident,Network Server,No,
"Utah Imaging Associates, Inc.",UT,Healthcare Provider,582170,2021-11-03,Hacking/IT Incident,Network Server,No,
Sea Mar Community Health Centers,WA,Healthcare Provider,688000,2021-10-30,Hacking/IT Incident,Network Server,No,
Lincare Holdings Inc.,FL,Healthcare Provider,2918444,2021-10-26,Hacking/IT Incident,Network Server,No,
"Syracuse ASC, LLC",NY,Healthcare Provider,24891,2021-10-14,Hacking/IT Incident,Network Server,No,
University Hospital,NJ,Healthcare Provider,9329,2021-10-08,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,
OSF HealthCare System,IL,Healthcare Provider,53907,2021-10-01,Hacking/IT Incident,Network Server,No,
Eskenazi Health,IN,Healthcare Provider,1515918,2021-10-01,Hacking/IT Incident,Network Server,No,
Premier Management Company ,TX,Healthcare Provider,37636,2021-09-30,Unauthorized Access/Disclosure,"Laptop, Other, Other Portable Electronic Device",No,
"Radiology Associates of Albuquerque, PA and Advanced Imaging, LLC",NM,Healthcare Provider,501,2021-09-08,Hacking/IT Incident,Network Server,No,
Youth Consultation Service,NJ,Healthcare Provider,2756,2021-07-19,Hacking/IT Incident,Network Server,No,
